start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2020-01-02T06:00:00.000Z,2020-01-03T11:49:00.000Z,SELL,0.01,2,1,10.00,2,10010.00
2020-01-03T11:49:00.000Z,2020-01-06T01:05:00.000Z,SELL,0.01,2,1,10.00,2,10020.00
2020-01-06T01:05:00.000Z,2020-01-06T01:36:00.000Z,SELL,0.01,1,1,10.00,1,10030.00
2020-01-06T01:36:00.000Z,2020-01-07T03:46:00.000Z,SELL,0.01,1,1,10.00,1,10040.00
2020-01-07T03:46:00.000Z,2020-01-07T09:38:00.000Z,BUY,0.01,1,1,10.00,1,10050.00
2020-01-07T09:38:00.000Z,2020-01-08T01:19:00.000Z,BUY,0.01,1,1,10.00,1,10060.00
2020-01-08T01:19:00.000Z,2020-01-08T02:27:00.000Z,SELL,0.01,2,1,10.00,2,10070.00
2020-01-08T02:27:00.000Z,2020-01-08T02:58:00.000Z,SELL,0.01,1,1,10.00,1,10080.00
2020-01-08T02:58:00.000Z,2020-01-08T04:04:00.000Z,SELL,0.01,1,1,10.00,1,10090.00
2020-01-08T04:04:00.000Z,2020-01-08T11:06:00.000Z,SELL,0.01,1,1,10.00,1,10100.00
2020-01-08T11:06:00.000Z,2020-01-08T15:19:00.000Z,SELL,0.01,1,1,10.00,1,10110.00
2020-01-08T15:19:00.000Z,2020-01-08T18:38:00.000Z,SELL,0.01,1,1,10.00,1,10120.00
2020-01-08T18:38:00.000Z,2020-01-24T17:19:00.000Z,BUY,0.01,3,1,10.00,3,10130.00
2020-01-24T17:19:00.000Z,2020-02-04T16:02:00.000Z,SELL,0.01,3,1,10.00,3,10140.00
2020-02-04T16:02:00.000Z,2020-02-07T12:11:00.000Z,BUY,0.01,1,1,10.00,1,10150.00
2020-02-07T12:11:00.000Z,2020-02-18T17:43:00.000Z,SELL,0.01,2,1,10.00,2,10160.00
2020-02-18T17:43:00.000Z,2020-02-21T08:07:00.000Z,SELL,0.01,2,1,10.00,2,10170.00
2020-02-21T08:07:00.000Z,2020-02-24T01:05:00.000Z,SELL,0.01,2,1,10.00,2,10180.00
2020-02-24T01:05:00.000Z,2020-02-25T02:08:00.000Z,SELL,0.01,5,1,10.00,5,10190.00
2020-02-25T02:08:00.000Z,2020-02-27T17:34:00.000Z,BUY,0.01,5,1,10.00,5,10200.00
2020-02-27T17:34:00.000Z,2020-02-27T18:06:00.000Z,SELL,0.01,1,1,10.00,1,10210.00
2020-02-27T18:06:00.000Z,2020-02-27T19:39:00.000Z,SELL,0.01,1,1,10.00,1,10220.00
2020-02-27T19:39:00.000Z,2020-02-28T07:56:00.000Z,SELL,0.01,1,1,10.00,1,10230.00
2020-02-28T07:56:00.000Z,2020-02-28T10:15:00.000Z,BUY,0.01,1,1,10.00,1,10240.00
2020-02-28T10:15:00.000Z,2020-02-28T17:05:00.000Z,BUY,0.01,2,1,10.00,2,10250.00
2020-02-28T17:05:00.000Z,2020-02-28T17:41:00.000Z,BUY,0.01,2,1,10.00,2,10260.00
2020-02-28T17:41:00.000Z,2020-02-28T18:04:00.000Z,BUY,0.01,1,1,10.00,1,10270.00
2020-02-28T18:04:00.000Z,2020-03-02T03:01:00.000Z,BUY,0.01,3,1,10.00,3,10280.00
2020-03-02T03:01:00.000Z,2020-03-02T11:35:00.000Z,BUY,0.01,1,1,10.00,1,10290.00
2020-03-02T11:35:00.000Z,2020-03-03T17:01:00.000Z,BUY,0.01,3,1,10.00,3,10300.00
