start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2020-01-02T06:00:00.000Z,2020-01-02T16:37:00.000Z,BUY,0.02,1,1,20.00,1,20020.00
2020-01-02T16:37:00.000Z,2020-01-03T04:27:00.000Z,BUY,0.02,1,1,20.00,1,20040.00
2020-01-03T04:27:00.000Z,2020-01-03T13:43:00.000Z,BUY,0.02,1,1,20.00,1,20060.00
2020-01-03T13:43:00.000Z,2020-01-06T01:05:00.000Z,BUY,0.02,1,1,20.00,1,20080.00
2020-01-06T01:05:00.000Z,2020-01-06T01:05:00.000Z,BUY,0.02,1,1,20.00,1,20100.00
2020-01-06T01:05:00.000Z,2020-01-06T01:06:00.000Z,BUY,0.02,1,1,20.00,1,20120.00
2020-01-06T01:06:00.000Z,2020-01-08T01:24:00.000Z,BUY,0.02,3,1,20.00,3,20140.00
2020-01-08T01:24:00.000Z,2020-01-08T02:11:00.000Z,BUY,0.02,1,1,20.00,1,20160.00
2020-01-08T02:11:00.000Z,2020-01-08T15:00:00.000Z,BUY,0.02,2,1,20.00,2,20180.00
2020-01-08T15:00:00.000Z,2020-01-09T08:38:00.000Z,BUY,0.02,2,1,20.00,2,20200.00
2020-01-09T08:38:00.000Z,2020-01-24T17:26:00.000Z,SELL,0.02,4,1,20.00,4,20220.00
2020-01-24T17:26:00.000Z,2020-01-27T01:05:00.000Z,BUY,0.02,1,1,20.00,1,20240.00
2020-01-27T01:05:00.000Z,2020-02-04T17:29:00.000Z,BUY,0.02,2,1,20.00,2,20260.00
2020-02-04T17:29:00.000Z,2020-02-14T16:57:00.000Z,SELL,0.02,2,1,20.00,2,20280.00
2020-02-14T16:57:00.000Z,2020-02-18T16:13:00.000Z,BUY,0.02,1,1,20.00,1,20300.00
2020-02-18T16:13:00.000Z,2020-02-18T18:15:00.000Z,BUY,0.02,1,1,20.00,1,20320.00
2020-02-18T18:15:00.000Z,2020-02-20T13:42:00.000Z,BUY,0.02,1,1,20.00,1,20340.00
2020-02-20T13:42:00.000Z,2020-02-20T18:32:00.000Z,BUY,0.02,1,1,20.00,1,20360.00
2020-02-20T18:32:00.000Z,2020-02-21T09:25:00.000Z,BUY,0.02,1,1,20.00,1,20380.00
2020-02-21T09:25:00.000Z,2020-02-21T15:45:00.000Z,BUY,0.02,1,1,20.00,1,20400.00
2020-02-21T15:45:00.000Z,2020-02-24T01:05:00.000Z,BUY,0.02,1,1,20.00,1,20420.00
2020-02-24T01:05:00.000Z,2020-02-24T01:10:00.000Z,BUY,0.02,1,1,20.00,1,20440.00
2020-02-24T01:10:00.000Z,2020-02-24T01:12:00.000Z,BUY,0.02,1,1,20.00,1,20460.00
2020-02-24T01:12:00.000Z,2020-02-24T10:31:00.000Z,BUY,0.02,1,1,20.00,1,20480.00
2020-02-24T10:31:00.000Z,2020-02-24T21:30:00.000Z,BUY,0.02,2,1,20.00,2,20500.00
2020-02-24T21:30:00.000Z,2020-02-26T15:46:00.000Z,BUY,0.02,5,0,-4840.00,5,15660.00
2020-02-26T15:46:00.000Z,2020-02-26T20:36:00.000Z,BUY,0.01,1,1,10.00,1,15670.00
2020-02-26T20:36:00.000Z,2020-02-28T06:10:00.000Z,SELL,0.01,1,1,10.00,1,15680.00
2020-02-28T06:10:00.000Z,2020-02-28T09:21:00.000Z,SELL,0.01,1,1,10.00,1,15690.00
2020-02-28T09:21:00.000Z,2020-02-28T16:40:00.000Z,SELL,0.01,1,1,10.00,1,15700.00
2020-02-28T16:40:00.000Z,2020-02-28T17:15:00.000Z,SELL,0.01,1,1,10.00,1,15710.00
2020-02-28T17:15:00.000Z,2020-02-28T17:36:00.000Z,SELL,0.01,1,1,10.00,1,15720.00
2020-02-28T17:36:00.000Z,2020-02-28T17:41:00.000Z,SELL,0.01,1,1,10.00,1,15730.00
2020-02-28T17:41:00.000Z,2020-02-28T17:41:00.000Z,SELL,0.01,1,1,10.00,1,15740.00
2020-02-28T17:41:00.000Z,2020-02-28T20:29:00.000Z,SELL,0.01,3,1,10.00,3,15750.00
2020-02-28T20:29:00.000Z,2020-03-02T02:40:00.000Z,SELL,0.01,2,1,10.00,2,15760.00
2020-03-02T02:40:00.000Z,2020-03-03T17:10:00.000Z,SELL,0.01,2,1,10.00,2,15770.00
2020-03-03T17:10:00.000Z,2020-03-03T17:37:00.000Z,BUY,0.01,1,1,10.00,1,15780.00
2020-03-03T17:37:00.000Z,2020-03-03T19:15:00.000Z,BUY,0.01,1,1,10.00,1,15790.00
2020-03-03T19:15:00.000Z,2020-03-05T14:23:00.000Z,BUY,0.01,1,1,10.00,1,15800.00
2020-03-05T14:23:00.000Z,2020-03-05T19:26:00.000Z,BUY,0.01,1,1,10.00,1,15810.00
2020-03-05T19:26:00.000Z,2020-03-06T01:46:00.000Z,BUY,0.01,1,1,10.00,1,15820.00
2020-03-06T01:46:00.000Z,2020-03-06T11:43:00.000Z,BUY,0.01,1,1,10.00,1,15830.00
2020-03-06T11:43:00.000Z,2020-03-06T17:28:00.000Z,BUY,0.01,2,1,10.00,2,15840.00
2020-03-06T17:28:00.000Z,2020-03-06T18:07:00.000Z,BUY,0.01,1,1,10.00,1,15850.00
2020-03-06T18:07:00.000Z,2020-03-06T21:14:00.000Z,BUY,0.01,1,1,10.00,1,15860.00
2020-03-06T21:14:00.000Z,2020-03-06T21:59:00.000Z,BUY,0.01,1,1,10.00,1,15870.00
2020-03-06T21:59:00.000Z,2020-03-09T01:05:00.000Z,BUY,0.01,1,1,10.00,1,15880.00
2020-03-09T01:05:00.000Z,2020-03-09T06:36:00.000Z,BUY,0.01,2,1,10.00,2,15890.00
2020-03-09T06:36:00.000Z,2020-03-09T07:13:00.000Z,BUY,0.01,1,1,10.00,1,15900.00
2020-03-09T07:13:00.000Z,2020-03-10T21:56:00.000Z,BUY,0.01,2,1,10.00,2,15910.00
