start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2004-06-14T10:04:00.000Z,2004-08-20T16:38:00.000Z,SELL,0.01,2,1,10.00,2,10010.00
2004-08-20T16:38:00.000Z,2004-10-08T14:45:00.000Z,BUY,0.01,1,1,10.00,1,10020.00
2004-10-08T14:45:00.000Z,2004-10-13T10:33:00.000Z,SELL,0.01,1,1,10.00,1,10030.00
2004-10-13T10:33:00.000Z,2004-11-17T09:22:00.000Z,SELL,0.01,2,1,10.00,2,10040.00
2004-11-17T09:22:00.000Z,2004-11-26T08:33:00.000Z,BUY,0.01,1,1,10.00,1,10050.00
2004-11-26T08:33:00.000Z,2005-01-06T16:15:00.000Z,BUY,0.01,2,1,10.00,2,10060.00
2005-01-06T16:15:00.000Z,2005-02-08T02:01:00.000Z,SELL,0.01,1,1,10.00,1,10070.00
2005-02-08T02:01:00.000Z,2005-03-09T18:41:00.000Z,SELL,0.01,2,1,10.00,2,10080.00
2005-03-09T18:41:00.000Z,2005-09-15T14:17:00.000Z,BUY,0.01,5,1,10.00,5,10090.00
2005-09-15T14:17:00.000Z,2005-09-19T12:52:00.000Z,BUY,0.01,1,1,10.00,1,10100.00
2005-09-19T12:52:00.000Z,2005-09-22T02:29:00.000Z,BUY,0.01,1,1,10.00,1,10110.00
2005-09-22T02:29:00.000Z,2005-11-17T14:41:00.000Z,BUY,0.01,1,1,10.00,1,10120.00
2005-11-17T14:41:00.000Z,2005-11-22T04:32:00.000Z,BUY,0.01,1,1,10.00,1,10130.00
2005-11-22T04:32:00.000Z,2005-12-01T20:27:00.000Z,BUY,0.01,1,1,10.00,1,10140.00
2005-12-01T20:27:00.000Z,2005-12-07T15:31:00.000Z,BUY,0.01,1,1,10.00,1,10150.00
2005-12-07T15:31:00.000Z,2005-12-09T11:36:00.000Z,BUY,0.01,1,1,10.00,1,10160.00
2005-12-09T11:36:00.000Z,2005-12-12T06:25:00.000Z,BUY,0.01,1,1,10.00,1,10170.00
2005-12-12T06:25:00.000Z,2005-12-15T01:05:00.000Z,BUY,0.01,2,1,10.00,2,10180.00
2005-12-15T01:05:00.000Z,2005-12-16T06:29:00.000Z,SELL,0.01,1,1,10.00,1,10190.00
2005-12-16T06:29:00.000Z,2006-01-03T15:15:00.000Z,SELL,0.01,2,1,10.00,2,10200.00
2006-01-03T15:15:00.000Z,2006-01-03T22:50:00.000Z,BUY,0.01,1,1,10.00,1,10210.00
2006-01-03T22:50:00.000Z,2006-01-09T17:38:00.000Z,BUY,0.01,1,1,10.00,1,10220.00
2006-01-09T17:38:00.000Z,2006-01-13T16:51:00.000Z,BUY,0.01,1,1,10.00,1,10230.00
2006-01-13T16:51:00.000Z,2006-01-20T15:36:00.000Z,BUY,0.01,1,1,10.00,1,10240.00
2006-01-20T15:36:00.000Z,2006-02-14T02:52:00.000Z,BUY,0.01,4,1,10.00,4,10250.00
