start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2004-06-14T10:04:00.000Z,2004-06-18T14:21:00.000Z,BUY,0.01,1,1,10.00,1,10010.00
2004-06-18T14:21:00.000Z,2004-06-24T19:21:00.000Z,BUY,0.01,1,1,10.00,1,10020.00
2004-06-24T19:21:00.000Z,2004-08-20T16:57:00.000Z,BUY,0.01,1,1,10.00,1,10030.00
2004-08-20T16:57:00.000Z,2004-10-08T14:46:00.000Z,BUY,0.01,1,1,10.00,1,10040.00
2004-10-08T14:46:00.000Z,2004-11-05T17:25:00.000Z,BUY,0.01,1,1,10.00,1,10050.00
2004-11-05T17:25:00.000Z,2004-11-17T10:46:00.000Z,BUY,0.01,1,1,10.00,1,10060.00
2004-11-17T10:46:00.000Z,2004-11-26T08:34:00.000Z,BUY,0.01,1,1,10.00,1,10070.00
2004-11-26T08:34:00.000Z,2005-01-04T16:29:00.000Z,BUY,0.01,2,1,10.00,2,10080.00
2005-01-04T16:29:00.000Z,2005-02-22T17:16:00.000Z,BUY,0.01,1,1,10.00,1,10090.00
2005-02-22T17:16:00.000Z,2005-03-11T16:34:00.000Z,BUY,0.01,1,1,10.00,1,10100.00
2005-03-11T16:34:00.000Z,2005-05-31T14:29:00.000Z,BUY,0.01,2,1,10.00,2,10110.00
2005-05-31T14:29:00.000Z,2005-06-06T09:28:00.000Z,BUY,0.01,1,1,10.00,1,10120.00
2005-06-06T09:28:00.000Z,2005-06-16T18:19:00.000Z,BUY,0.01,1,1,10.00,1,10130.00
2005-06-16T18:19:00.000Z,2005-08-11T18:19:00.000Z,BUY,0.01,1,1,10.00,1,10140.00
2005-08-11T18:19:00.000Z,2005-09-15T19:16:00.000Z,BUY,0.01,1,1,10.00,1,10150.00
2005-09-15T19:16:00.000Z,2005-09-19T16:40:00.000Z,BUY,0.01,1,1,10.00,1,10160.00
2005-09-19T16:40:00.000Z,2005-10-10T09:15:00.000Z,BUY,0.01,1,1,10.00,1,10170.00
2005-10-10T09:15:00.000Z,2005-11-17T16:15:00.000Z,BUY,0.01,3,1,10.00,3,10180.00
2005-11-17T16:15:00.000Z,2005-11-28T08:36:00.000Z,BUY,0.01,1,1,10.00,1,10190.00
2005-11-28T08:36:00.000Z,2005-12-05T02:03:00.000Z,BUY,0.01,1,1,10.00,1,10200.00
2005-12-05T02:03:00.000Z,2005-12-08T02:06:00.000Z,BUY,0.01,1,1,10.00,1,10210.00
2005-12-08T02:06:00.000Z,2005-12-09T16:19:00.000Z,BUY,0.01,1,1,10.00,1,10220.00
2005-12-09T16:19:00.000Z,2005-12-12T08:35:00.000Z,BUY,0.01,1,1,10.00,1,10230.00
2005-12-12T08:35:00.000Z,2005-12-14T18:46:00.000Z,BUY,0.01,2,1,10.00,2,10240.00
2005-12-14T18:46:00.000Z,2005-12-28T16:18:00.000Z,BUY,0.01,1,1,10.00,1,10250.00
2005-12-28T16:18:00.000Z,2006-01-03T16:06:00.000Z,BUY,0.01,1,1,10.00,1,10260.00
2006-01-03T16:06:00.000Z,2006-01-06T18:00:00.000Z,BUY,0.01,1,1,10.00,1,10270.00
2006-01-06T18:00:00.000Z,2006-01-09T19:06:00.000Z,BUY,0.01,1,1,10.00,1,10280.00
2006-01-09T19:06:00.000Z,2006-01-17T09:09:00.000Z,BUY,0.01,1,1,10.00,1,10290.00
