start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2004-06-14T10:04:00.000Z,2004-08-20T16:38:00.000Z,SELL,0.02,2,1,20.00,2,20020.00
2004-08-20T16:38:00.000Z,2004-10-08T14:45:00.000Z,BUY,0.02,1,1,20.00,1,20040.00
2004-10-08T14:45:00.000Z,2004-10-13T10:33:00.000Z,SELL,0.02,1,1,20.00,1,20060.00
2004-10-13T10:33:00.000Z,2004-11-17T09:22:00.000Z,SELL,0.02,2,1,20.00,2,20080.00
2004-11-17T09:22:00.000Z,2004-11-26T08:33:00.000Z,BUY,0.02,1,1,20.00,1,20100.00
2004-11-26T08:33:00.000Z,2005-01-06T16:15:00.000Z,BUY,0.02,2,1,20.00,2,20120.00
2005-01-06T16:15:00.000Z,2005-02-08T02:01:00.000Z,SELL,0.02,1,1,20.00,1,20140.00
2005-02-08T02:01:00.000Z,2005-03-09T18:41:00.000Z,SELL,0.02,2,1,20.00,2,20160.00
2005-03-09T18:41:00.000Z,2005-09-15T14:17:00.000Z,BUY,0.02,5,1,20.00,5,20180.00
2005-09-15T14:17:00.000Z,2005-09-19T12:52:00.000Z,BUY,0.02,1,1,20.00,1,20200.00
2005-09-19T12:52:00.000Z,2005-09-22T02:29:00.000Z,BUY,0.02,1,1,20.00,1,20220.00
2005-09-22T02:29:00.000Z,2005-11-17T14:41:00.000Z,BUY,0.02,1,1,20.00,1,20240.00
2005-11-17T14:41:00.000Z,2005-11-22T04:32:00.000Z,BUY,0.02,1,1,20.00,1,20260.00
2005-11-22T04:32:00.000Z,2005-12-01T20:27:00.000Z,BUY,0.02,1,1,20.00,1,20280.00
2005-12-01T20:27:00.000Z,2005-12-07T15:31:00.000Z,BUY,0.02,1,1,20.00,1,20300.00
2005-12-07T15:31:00.000Z,2005-12-09T11:36:00.000Z,BUY,0.02,1,1,20.00,1,20320.00
2005-12-09T11:36:00.000Z,2005-12-12T06:25:00.000Z,BUY,0.02,1,1,20.00,1,20340.00
2005-12-12T06:25:00.000Z,2005-12-15T01:05:00.000Z,BUY,0.02,2,1,20.00,2,20360.00
2005-12-15T01:05:00.000Z,2005-12-16T06:29:00.000Z,SELL,0.02,1,1,20.00,1,20380.00
2005-12-16T06:29:00.000Z,2006-01-03T15:15:00.000Z,SELL,0.02,2,1,20.00,2,20400.00
2006-01-03T15:15:00.000Z,2006-01-03T22:50:00.000Z,BUY,0.02,1,1,20.00,1,20420.00
2006-01-03T22:50:00.000Z,2006-01-09T17:38:00.000Z,BUY,0.02,1,1,20.00,1,20440.00
2006-01-09T17:38:00.000Z,2006-01-13T16:51:00.000Z,BUY,0.02,1,1,20.00,1,20460.00
2006-01-13T16:51:00.000Z,2006-01-20T15:36:00.000Z,BUY,0.02,1,1,20.00,1,20480.00
2006-01-20T15:36:00.000Z,2006-02-14T02:52:00.000Z,BUY,0.02,4,1,20.00,4,20500.00
2006-02-14T02:52:00.000Z,2006-03-01T16:45:00.000Z,SELL,0.02,2,1,20.00,2,20520.00
2006-03-01T16:45:00.000Z,2006-03-10T15:25:00.000Z,BUY,0.02,2,1,20.00,2,20540.00
2006-03-10T15:25:00.000Z,2006-03-27T15:58:00.000Z,SELL,0.02,2,1,20.00,2,20560.00
2006-03-27T15:58:00.000Z,2006-03-30T09:06:00.000Z,BUY,0.02,1,1,20.00,1,20580.00
2006-03-30T09:06:00.000Z,2006-03-30T16:45:00.000Z,BUY,0.02,1,1,20.00,1,20600.00
2006-03-30T16:45:00.000Z,2006-04-06T11:47:00.000Z,BUY,0.02,1,1,20.00,1,20620.00
2006-04-06T11:47:00.000Z,2006-04-17T09:30:00.000Z,BUY,0.02,1,1,20.00,1,20640.00
2006-04-17T09:30:00.000Z,2006-04-18T04:36:00.000Z,BUY,0.02,1,1,20.00,1,20660.00
2006-04-18T04:36:00.000Z,2006-04-19T16:36:00.000Z,BUY,0.02,1,1,20.00,1,20680.00
2006-04-19T16:36:00.000Z,2006-04-19T20:13:00.000Z,BUY,0.02,1,1,20.00,1,20700.00
2006-04-19T20:13:00.000Z,2006-04-28T17:04:00.000Z,BUY,0.02,3,1,20.00,3,20720.00
2006-04-28T17:04:00.000Z,2006-05-01T05:50:00.000Z,BUY,0.02,1,1,20.00,1,20740.00
2006-05-01T05:50:00.000Z,2006-05-02T21:14:00.000Z,BUY,0.02,1,1,20.00,1,20760.00
2006-05-02T21:14:00.000Z,2006-05-04T20:21:00.000Z,BUY,0.02,1,1,20.00,1,20780.00
2006-05-04T20:21:00.000Z,2006-05-09T15:24:00.000Z,BUY,0.02,1,1,20.00,1,20800.00
2006-05-09T15:24:00.000Z,2006-05-09T17:50:00.000Z,BUY,0.02,1,1,20.00,1,20820.00
2006-05-09T17:50:00.000Z,2006-05-10T23:23:00.000Z,BUY,0.02,1,1,20.00,1,20840.00
2006-05-10T23:23:00.000Z,2006-05-11T14:56:00.000Z,BUY,0.02,1,1,20.00,1,20860.00
2006-05-11T14:56:00.000Z,2006-05-12T12:35:00.000Z,BUY,0.02,1,1,20.00,1,20880.00
2006-05-12T12:35:00.000Z,2006-05-15T09:59:00.000Z,BUY,0.02,2,1,20.00,2,20900.00
2006-05-15T09:59:00.000Z,2006-05-17T09:49:00.000Z,BUY,0.02,3,1,20.00,3,20920.00
2006-05-17T09:49:00.000Z,2006-05-18T06:26:00.000Z,BUY,0.02,2,1,20.00,2,20940.00
2006-05-18T06:26:00.000Z,2006-05-19T14:41:00.000Z,SELL,0.02,1,1,20.00,1,20960.00
2006-05-19T14:41:00.000Z,2006-05-19T15:07:00.000Z,SELL,0.02,1,1,20.00,1,20980.00
2006-05-19T15:07:00.000Z,2006-05-22T07:38:00.000Z,SELL,0.02,1,1,20.00,1,21000.00
2006-05-22T07:38:00.000Z,2006-05-22T08:50:00.000Z,SELL,0.02,1,1,20.00,1,21020.00
2006-05-22T08:50:00.000Z,2006-05-23T15:51:00.000Z,SELL,0.02,2,1,20.00,2,21040.00
2006-05-23T15:51:00.000Z,2006-05-24T19:25:00.000Z,BUY,0.02,2,1,20.00,2,21060.00
2006-05-24T19:25:00.000Z,2006-06-01T14:25:00.000Z,SELL,0.02,3,1,20.00,3,21080.00
2006-06-01T14:25:00.000Z,2006-06-07T13:14:00.000Z,SELL,0.02,1,1,20.00,1,21100.00
2006-06-07T13:14:00.000Z,2006-06-08T20:11:00.000Z,SELL,0.02,1,1,20.00,1,21120.00
2006-06-08T20:11:00.000Z,2006-06-13T07:33:00.000Z,SELL,0.02,1,1,20.00,1,21140.00
2006-06-13T07:33:00.000Z,2006-06-13T13:21:00.000Z,SELL,0.02,1,1,20.00,1,21160.00
2006-06-13T13:21:00.000Z,2006-06-13T16:52:00.000Z,SELL,0.02,1,1,20.00,1,21180.00
2006-06-13T16:52:00.000Z,2006-06-13T19:06:00.000Z,SELL,0.02,1,1,20.00,1,21200.00
2006-06-13T19:06:00.000Z,2006-06-14T05:20:00.000Z,SELL,0.02,1,1,20.00,1,21220.00
2006-06-14T05:20:00.000Z,2006-06-14T06:15:00.000Z,SELL,0.02,1,1,20.00,1,21240.00
2006-06-14T06:15:00.000Z,2006-06-15T10:21:00.000Z,SELL,0.02,2,1,20.00,2,21260.00
2006-06-15T10:21:00.000Z,2006-06-21T19:27:00.000Z,BUY,0.02,1,1,20.00,1,21280.00
2006-06-21T19:27:00.000Z,2006-06-29T21:19:00.000Z,BUY,0.02,1,1,20.00,1,21300.00
2006-06-29T21:19:00.000Z,2006-06-30T15:15:00.000Z,BUY,0.02,1,1,20.00,1,21320.00
2006-06-30T15:15:00.000Z,2006-07-03T01:42:00.000Z,BUY,0.02,1,1,20.00,1,21340.00
2006-07-03T01:42:00.000Z,2006-07-05T12:51:00.000Z,BUY,0.02,1,1,20.00,1,21360.00
2006-07-05T12:51:00.000Z,2006-07-11T18:17:00.000Z,BUY,0.02,1,1,20.00,1,21380.00
2006-07-11T18:17:00.000Z,2006-07-12T14:56:00.000Z,BUY,0.02,1,1,20.00,1,21400.00
2006-07-12T14:56:00.000Z,2006-07-13T21:41:00.000Z,BUY,0.02,1,1,20.00,1,21420.00
2006-07-13T21:41:00.000Z,2006-07-17T01:05:00.000Z,BUY,0.02,1,1,20.00,1,21440.00
2006-07-17T01:05:00.000Z,2006-07-18T18:04:00.000Z,BUY,0.02,2,1,20.00,2,21460.00
2006-07-18T18:04:00.000Z,2006-07-18T20:49:00.000Z,SELL,0.02,1,1,20.00,1,21480.00
2006-07-18T20:49:00.000Z,2006-07-19T12:36:00.000Z,SELL,0.02,1,1,20.00,1,21500.00
2006-07-19T12:36:00.000Z,2006-07-24T15:39:00.000Z,SELL,0.02,3,1,20.00,3,21520.00
2006-07-24T15:39:00.000Z,2006-07-27T15:03:00.000Z,SELL,0.02,2,1,20.00,2,21540.00
2006-07-27T15:03:00.000Z,2006-08-01T20:13:00.000Z,BUY,0.02,1,1,20.00,1,21560.00
2006-08-01T20:13:00.000Z,2006-08-17T18:38:00.000Z,BUY,0.02,2,1,20.00,2,21580.00
2006-08-17T18:38:00.000Z,2006-08-18T18:54:00.000Z,SELL,0.02,1,1,20.00,1,21600.00
2006-08-18T18:54:00.000Z,2006-09-05T15:11:00.000Z,SELL,0.02,4,1,20.00,4,21620.00
2006-09-05T15:11:00.000Z,2006-09-08T14:56:00.000Z,BUY,0.02,2,1,20.00,2,21640.00
2006-09-08T14:56:00.000Z,2006-09-11T05:42:00.000Z,SELL,0.02,1,1,20.00,1,21660.00
2006-09-11T05:42:00.000Z,2006-09-11T15:54:00.000Z,SELL,0.02,1,1,20.00,1,21680.00
2006-09-11T15:54:00.000Z,2006-09-14T20:16:00.000Z,SELL,0.02,1,1,20.00,1,21700.00
2006-09-14T20:16:00.000Z,2006-10-04T17:04:00.000Z,SELL,0.02,3,1,20.00,3,21720.00
2006-10-04T17:04:00.000Z,2006-10-17T01:13:00.000Z,SELL,0.02,2,1,20.00,2,21740.00
2006-10-17T01:13:00.000Z,2006-10-30T16:41:00.000Z,BUY,0.02,3,1,20.00,3,21760.00
2006-10-30T16:41:00.000Z,2006-11-01T20:50:00.000Z,BUY,0.02,1,1,20.00,1,21780.00
2006-11-01T20:50:00.000Z,2006-11-03T18:04:00.000Z,BUY,0.02,1,1,20.00,1,21800.00
2006-11-03T18:04:00.000Z,2006-11-27T01:07:00.000Z,BUY,0.02,1,1,20.00,1,21820.00
