start_time,end_time,start_direction,base_lot,terminal_level,won,pnl,trades,end_balance
2004-06-14T10:04:00.000Z,2004-08-20T16:38:00.000Z,SELL,0.01,2,1,10.00,2,10010.00
2004-08-20T16:38:00.000Z,2004-08-24T22:31:00.000Z,SELL,0.01,1,1,10.00,1,10020.00
2004-08-24T22:31:00.000Z,2004-11-04T15:07:00.000Z,SELL,0.01,2,1,10.00,2,10030.00
2004-11-04T15:07:00.000Z,2005-01-06T16:46:00.000Z,SELL,0.01,3,1,10.00,3,10040.00
2005-01-06T16:46:00.000Z,2005-02-08T10:25:00.000Z,SELL,0.01,1,1,10.00,1,10050.00
2005-02-08T10:25:00.000Z,2005-03-09T18:35:00.000Z,SELL,0.01,2,1,10.00,2,10060.00
2005-03-09T18:35:00.000Z,2005-03-21T14:46:00.000Z,SELL,0.01,1,1,10.00,1,10070.00
2005-03-21T14:46:00.000Z,2005-05-12T18:56:00.000Z,SELL,0.01,1,1,10.00,1,10080.00
2005-05-12T18:56:00.000Z,2005-09-12T02:19:00.000Z,SELL,0.01,4,1,10.00,4,10090.00
2005-09-12T02:19:00.000Z,2005-11-17T01:42:00.000Z,SELL,0.01,2,1,10.00,2,10100.00
2005-11-17T01:42:00.000Z,2005-12-06T23:01:00.000Z,SELL,0.01,2,1,10.00,2,10110.00
2005-12-06T23:01:00.000Z,2005-12-15T10:38:00.000Z,SELL,0.01,3,1,10.00,3,10120.00
2005-12-15T10:38:00.000Z,2005-12-21T01:14:00.000Z,SELL,0.01,1,1,10.00,1,10130.00
2005-12-21T01:14:00.000Z,2006-01-03T10:47:00.000Z,SELL,0.01,2,1,10.00,2,10140.00
2006-01-03T10:47:00.000Z,2006-01-09T20:05:00.000Z,SELL,0.01,2,1,10.00,2,10150.00
2006-01-09T20:05:00.000Z,2006-01-10T16:47:00.000Z,SELL,0.01,1,1,10.00,1,10160.00
2006-01-10T16:47:00.000Z,2006-01-31T01:31:00.000Z,SELL,0.01,2,1,10.00,2,10170.00
2006-01-31T01:31:00.000Z,2006-02-07T15:37:00.000Z,SELL,0.01,1,1,10.00,1,10180.00
2006-02-07T15:37:00.000Z,2006-02-07T20:21:00.000Z,SELL,0.01,1,1,10.00,1,10190.00
2006-02-07T20:21:00.000Z,2006-02-13T19:13:00.000Z,SELL,0.01,1,1,10.00,1,10200.00
2006-02-13T19:13:00.000Z,2006-03-02T20:14:00.000Z,SELL,0.01,2,1,10.00,2,10210.00
2006-03-02T20:14:00.000Z,2006-03-06T18:24:00.000Z,SELL,0.01,1,1,10.00,1,10220.00
2006-03-06T18:24:00.000Z,2006-03-07T17:07:00.000Z,SELL,0.01,1,1,10.00,1,10230.00
2006-03-07T17:07:00.000Z,2006-03-08T18:24:00.000Z,SELL,0.01,1,1,10.00,1,10240.00
2006-03-08T18:24:00.000Z,2006-03-28T16:21:00.000Z,SELL,0.01,2,1,10.00,2,10250.00
2006-03-28T16:21:00.000Z,2006-04-10T20:23:00.000Z,SELL,0.01,2,1,10.00,2,10260.00
2006-04-10T20:23:00.000Z,2006-04-19T19:09:00.000Z,SELL,0.01,2,1,10.00,2,10270.00
2006-04-19T19:09:00.000Z,2006-04-20T16:40:00.000Z,SELL,0.01,1,1,10.00,1,10280.00
2006-04-20T16:40:00.000Z,2006-04-20T16:51:00.000Z,SELL,0.01,1,1,10.00,1,10290.00
2006-04-20T16:51:00.000Z,2006-04-24T01:19:00.000Z,SELL,0.01,2,1,10.00,2,10300.00
2006-04-24T01:19:00.000Z,2006-04-24T06:45:00.000Z,SELL,0.01,1,1,10.00,1,10310.00
2006-04-24T06:45:00.000Z,2006-05-01T05:55:00.000Z,SELL,0.01,2,1,10.00,2,10320.00
2006-05-01T05:55:00.000Z,2006-05-09T15:26:00.000Z,SELL,0.01,2,1,10.00,2,10330.00
2006-05-09T15:26:00.000Z,2006-05-11T14:56:00.000Z,SELL,0.01,2,1,10.00,2,10340.00
2006-05-11T14:56:00.000Z,2006-05-12T18:40:00.000Z,SELL,0.01,1,1,10.00,1,10350.00
2006-05-12T18:40:00.000Z,2006-05-15T10:01:00.000Z,SELL,0.01,1,1,10.00,1,10360.00
2006-05-15T10:01:00.000Z,2006-05-15T10:10:00.000Z,SELL,0.01,1,1,10.00,1,10370.00
2006-05-15T10:10:00.000Z,2006-05-15T22:27:00.000Z,SELL,0.01,1,1,10.00,1,10380.00
2006-05-15T22:27:00.000Z,2006-05-17T09:04:00.000Z,SELL,0.01,2,1,10.00,2,10390.00
2006-05-17T09:04:00.000Z,2006-05-17T15:27:00.000Z,SELL,0.01,1,1,10.00,1,10400.00
2006-05-17T15:27:00.000Z,2006-05-17T17:31:00.000Z,SELL,0.01,1,1,10.00,1,10410.00
2006-05-17T17:31:00.000Z,2006-05-19T14:20:00.000Z,SELL,0.01,1,1,10.00,1,10420.00
2006-05-19T14:20:00.000Z,2006-05-19T14:55:00.000Z,SELL,0.01,1,1,10.00,1,10430.00
2006-05-19T14:55:00.000Z,2006-05-19T16:20:00.000Z,SELL,0.01,1,1,10.00,1,10440.00
2006-05-19T16:20:00.000Z,2006-05-22T07:40:00.000Z,SELL,0.01,1,1,10.00,1,10450.00
2006-05-22T07:40:00.000Z,2006-06-01T07:32:00.000Z,SELL,0.01,3,1,10.00,3,10460.00
2006-06-01T07:32:00.000Z,2006-06-01T14:58:00.000Z,SELL,0.01,1,1,10.00,1,10470.00
2006-06-01T14:58:00.000Z,2006-06-08T15:42:00.000Z,SELL,0.01,3,1,10.00,3,10480.00
2006-06-08T15:42:00.000Z,2006-06-09T09:33:00.000Z,SELL,0.01,1,1,10.00,1,10490.00
2006-06-09T09:33:00.000Z,2006-06-13T07:56:00.000Z,SELL,0.01,1,1,10.00,1,10500.00
2006-06-13T07:56:00.000Z,2006-06-13T14:56:00.000Z,SELL,0.01,1,1,10.00,1,10510.00
2006-06-13T14:56:00.000Z,2006-06-13T17:38:00.000Z,SELL,0.01,1,1,10.00,1,10520.00
2006-06-13T17:38:00.000Z,2006-06-13T19:14:00.000Z,SELL,0.01,1,1,10.00,1,10530.00
2006-06-13T19:14:00.000Z,2006-06-14T05:39:00.000Z,SELL,0.01,1,1,10.00,1,10540.00
2006-06-14T05:39:00.000Z,2006-06-14T06:17:00.000Z,SELL,0.01,1,1,10.00,1,10550.00
2006-06-14T06:17:00.000Z,2006-06-15T09:53:00.000Z,SELL,0.01,2,1,10.00,2,10560.00
2006-06-15T09:53:00.000Z,2006-06-20T01:30:00.000Z,SELL,0.01,1,1,10.00,1,10570.00
2006-06-20T01:30:00.000Z,2006-06-22T03:48:00.000Z,SELL,0.01,2,1,10.00,2,10580.00
2006-06-22T03:48:00.000Z,2006-06-22T16:20:00.000Z,SELL,0.01,1,1,10.00,1,10590.00
2006-06-22T16:20:00.000Z,2006-06-23T14:21:00.000Z,SELL,0.01,1,1,10.00,1,10600.00
